0,Comment,Label,Media
1, thanks Ranvir for bringing this podcast,1,youtube
2,you level up your podcast so much diversity in your podcasts ,1,youtube
3,u managed to bring it live such a pure heart,1,youtube
4,feeling so much great full to listen her.,1,youtube
5,Yet another heart touching vlog,1,youtube
6,Very informative podcast,1,youtube
7,u managed to bring it live such a pure heart,1,youtube
8,This is one of the best podcast of your channel.,1,youtube
9,Amazing podcast,1,youtube
10,Beautiful podcast,1,youtube
11,Excellent interview and a window into the past,1,youtube
12,This conversation should have never ended,1,youtube
13,Beautiful interviews,1,youtube
14,Loved to see my sister on your podcast,1,youtube
15,Podcast was wonderful,1,youtube
16,One of the best podcast I had ever watched,1,youtube
17,Love this episode,1,youtube
18,Ranveer you did it effortlessly well,1,youtube
19,Lovely interview/podcast,1,youtube
20,Thanku so much for this podcast,1,youtube
21,best podcast of yours and loved the content and overall conversation,1,youtube
22,truly enjoyed the podcast,1,youtube
23,it always very catchy to listen to your podcast,1,youtube
24,Thoroughly enjoyed,1,youtube
25,TRS is raising bar for other podcasters higher and higher,1,youtube
26,Love this podcast looking forward for more episodes,1,youtube
27,Fantastic episode,1,youtube
28,Beautiful episode on a new topic,1,youtube
29,A beautiful podcast with a beautiful being,1,youtube
30,I really enjoyed this podcast,1,youtube
31,Ranveer you are humble ,1,youtube
32,What a powerful podcast,1,youtube
33,Ranveer suprising us everytime,1,youtube
34,Amazing royal podcast,1,youtube
35,Thank you ranveer for this podcast,1,youtube
36,One of the good podcast I have watched,1,youtube
37,very cool and at ease ,1,youtube
38,Really nice conversation,1,youtube
39,Glad to see her on your podcast,1,youtube
40,Maja aa gaya,1,youtube
41,excellent pick of subject chosen,1,youtube
42,one of the great podcast,1,youtube
43,Fabulous,1,youtube
44,Ranveer pls don't stop your podcast and your channel,1,youtube
45,Enjoyed this beautiful and informative episode,1,youtube
46,One of the best podcast I had ever watched,1,youtube
47,I always watch your podcast and you are one of my favourite,1,youtube
48,Superb interview,1,youtube
49,I have seen most of your podcast but this is unique,1,youtube
50,This podcast was very beautiful,1,youtube
51,Amazing podcast…amazing guest,1,youtube
52,Have seen many podcast but the way you conduct a podcast is class apart,1,youtube
53,wow…something new and captivating topic,1,youtube
54,such an amazing podcast,1,youtube
55,first podcast which I have seen without skipping,1,youtube
56,I don't think you used appropriate word,-1,youtube
57,first time I didn’t agree with you brother,-1,youtube
58,Most actors felt like they were forced to come,-1,youtube
59,you are just a rich guy associated with Bollywood and trying to act middle class in podcasts,-1,youtube
60,bhai bas kar yaar,-1,youtube
61,I always enjoy watching your podcast,1,youtube
62,Great video….looking forward for more such content,1,youtube
63,He should use a disclaimer,0,youtube
64,Your show is lifeline for me,1,youtube
65,I really wish to meet you at least once in my life,1,youtube
66,feel you,1,youtube
67,this event is life remembering indeed,1,youtube
68,your contents are the best,1,youtube
69,"your podcast is just for views no learning, no lessons and no inspirations",-1,youtube
70,We need your podcast,1,youtube
71,don’t stop your podcast,1,youtube
72,Your podcasts make senses..kindly don’t do promotions of ambani,0,youtube
73,superb podcast,1,youtube
74,It's really true and real review,1,youtube
75,Ranveer sounds star struck which is surprising and i don't think such a public display of wealth should be glorified anymore by responsible citizens,-1,youtube
76,much needed our ranveer,1,youtube
77,Not Ranveer Allahbadia but a marketing agent,-1,youtube
78,Amazing quality of podcast,1,youtube
79,Ranveer is such a bali influencer totally fake ,-1,youtube
80,Lets manipulate audience,-1,youtube
81,Ranveer: full of positivity,1,youtube
82,Great episode ranveer,1,youtube
83,Love your dedication,1,youtube
84,Love this podcast please keep going,1,youtube
85,The way this podcast was positioned… fooled all of us,-1,youtube
86,inception of ranveer really disgusting,-1,youtube
87,You are cashing in on this ? Wow,0,youtube
88,in your every podcast I feel so much of emotion,1,youtube
89,Your videos hits differently,1,youtube
90,I love you are podcasting,1,youtube
91,Want podcast on more stories,1,youtube
92,Ranveer be like aliens has also arrived,0,youtube
93,this is his manifesto podcast,1,youtube
94,amazing,1,youtube
95,"you have been able to maintain the image of a ""big fat indian wedding""",0,youtube
96,Respect to ranveer for being so 1,1,youtube
97,Not a Podcast but a 1 pr ,-1,youtube
98,very very nice input,1,youtube
99,vote for msd podcast,1,youtube
100,Ranveer is treating her so good,1,youtube
101,First time I watched your podcast,0,youtube
102,cheers to ranveer for acknowledging her,1,youtube
103,Ranveer you stole my heart,1,youtube
104,I literally cried 2-3 times while watching this podcast..this is so wholesome,1,youtube
105,The chemistry between u both looked amazing,0,youtube
106,Podcast was really inspiring,1,youtube
107,First time I watched your podcast,0,youtube
108,What a humble man Ranveer is,1,youtube
109,How polite and well-spoken Ranveer is,1,youtube
110,Ranveer voice is so soft,0,youtube
111,The way Ranveer is speaking is so humble,1,youtube
112,The way Ranveer is handling her whenever her voice is getting shaky. Uff a true gentleman.,1,youtube
113,What a interview with a brave girl,1,youtube
114,You treated her so gently and it was lovely watching,1,youtube
115,very sweet of ranveer to call her on podcast,0,youtube
116,This broadcast is one of the best I've seen,1,youtube
117,This interview is so good,1,youtube
118,Thanks for such a heart-touching podcast,1,youtube
119,Thanks Ranveer for doing this,1,youtube
120,I cried so hard watching this podcast…so pure and innocent,1,youtube
121,You are undoubtedly the best podcaster in India,1,youtube
122,Ranveer..such a grounded person he makes everyone so comfortable,1,youtube
123,I cried watching this podcast,0,youtube
124,Ranveer is such a generous and gentleman,1,youtube
125,Ranveer sir is too good and humble the way he treated her,1,youtube
126,Podcast podcasting like never before coz of the vibe of this talk,1,youtube
127,First time I watched your podcast,0,youtube
128,very motivational podcast for those who are ssearching for a new hope,1,youtube
129,So proud of you the way you conducted this podcast,1,youtube
130,One of the best podcast ,1,youtube
131,Such a beautiful podcast,1,youtube
132,very beautiful and inspiring podcast,1,youtube
133,Thankyou for being the best host to a girl like nancy,1,youtube
134,This is the purest podcast,1,youtube
135,"this podcast changed my perception about ranveer, he's is giving such kind and guardian like vibe, I respect him much more",1,youtube
136,Everything is perfect hats off to this guy,1,youtube
137,very beautiful podcast,1,youtube
138,Ranveer is the ultimate podcaster,1,youtube
139,Such a clear and absolute podcast ever I've watched ,1,youtube
140,This is Ranveer's best podcast till date,1,youtube
